time,logger,level,message,exception
2012-04-16 00:00:27.5830,Raven.Database.Server.HttpServer,Debug,Request # 725: GET     -     0 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:00:27.5830,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:00:27.7700,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:00:27.7700,Raven.Database.Server.HttpServer,Debug,Request # 726: GET     -     1 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:00:28.7730,Raven.Database.Server.HttpServer,Debug,Request # 727: GET     -     0 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:00:28.8880,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 0 ms
",
2012-04-16 00:04:03.9763,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-04-16 00:04:03.9763,Raven.Database.Server.HttpServer,Debug,Request # 728: GET     -     0 ms - BiggerShelf - 404 - /docs/Raven/Replication/Destinations,
2012-04-16 00:04:03.9763,Raven.Database.Server.HttpServer,Debug,Request # 729: GET     -     0 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:04:03.9763,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:04:04.4154,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:04:04.4154,Raven.Database.Server.HttpServer,Debug,Request # 730: GET     -     2 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:04:04.5984,Raven.Database.Server.HttpServer,Debug,Request # 731: GET     -    35 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:04:04.6274,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 4 ms
",
2012-04-16 00:04:43.3566,Raven.Database.Server.HttpServer,Debug,Request # 732: GET     -     0 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:04:43.3566,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:04:43.9456,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:04:43.9456,Raven.Database.Server.HttpServer,Debug,Request # 733: GET     -     5 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:04:44.1126,Raven.Database.Server.HttpServer,Debug,Request # 734: GET     -    68 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:04:44.1126,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 0 ms
",
2012-04-16 00:05:22.5708,Raven.Database.Server.HttpServer,Debug,Request # 735: GET     -     1 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:05:22.5708,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:05:22.8018,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:05:22.8018,Raven.Database.Server.HttpServer,Debug,Request # 736: GET     -     6 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:05:22.9869,Raven.Database.Server.HttpServer,Debug,Request # 737: GET     -    69 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:05:22.9869,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 0 ms
",
2012-04-16 00:07:59.1488,Raven.Database.Server.HttpServer,Debug,Request # 738: GET     -     0 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:07:59.1788,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:07:59.3858,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:07:59.3858,Raven.Database.Server.HttpServer,Debug,Request # 739: GET     -     6 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:07:59.7648,Raven.Database.Server.HttpServer,Debug,Request # 740: GET     -     2 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:07:59.8238,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 2 ms
",
2012-04-16 00:08:08.9323,Raven.Database.Server.HttpServer,Debug,Request # 741: GET     -     1 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:08:08.9323,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 1 ms
",
2012-04-16 00:08:09.4514,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:08:09.4514,Raven.Database.Server.HttpServer,Debug,Request # 742: GET     -     1 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:09:06.0076,Raven.Database.Server.HttpServer,Debug,Request # 743: GET     -     1 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:09:06.0076,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 0 ms
",
2012-04-16 00:09:06.0076,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-04-16 00:09:06.0076,Raven.Database.Server.HttpServer,Debug,Request # 744: GET     -     1 ms - BiggerShelf - 404 - /docs/Raven/Replication/Destinations,
2012-04-16 00:09:54.3744,Raven.Database.Server.HttpServer,Debug,Request # 745: GET     -     1 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:09:54.3744,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:09:54.6204,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:09:54.6204,Raven.Database.Server.HttpServer,Debug,Request # 746: GET     -     1 ms - BiggerShelf - 304 - /docs/profiles/1,
2012-04-16 00:09:55.0494,Raven.Database.Server.HttpServer,Debug,Request # 747: GET     -    38 ms - BiggerShelf - 304 - /indexes/dynamic/Books?query=&start=0&pageSize=128&aggregation=None,
2012-04-16 00:09:55.1294,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 2 ms
",
2012-04-16 00:12:02.0177,Raven.Database.Server.HttpServer,Debug,Request # 748: GET     -     0 ms - BiggerShelf - 304 - /indexes/dynamic/Profiles?query=AspNetUserGuid%253A3730F12D%255C-1A2A%255C-4499%255C-859B%255C-9F586B2858A4&start=0&pageSize=2&aggregation=None,
2012-04-16 00:12:02.0177,Raven.Database.Server.HttpServer,Debug,"	Query: AspNetUserGuid:3730F12D\-1A2A\-4499\-859B\-9F586B2858A4
	Time: 0 ms
",
2012-04-16 00:12:02.2887,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'profiles/1' was found,
2012-04-16 00:12:02.2887,Raven.Database.Server.HttpServer,Debug,Request # 749: GET     -     1 ms - BiggerShelf - 304 - /docs/profiles/1,
